,date,house for rent,State,DMA,Full
112,2013-05-01,28,OK,Oklahoma City ,Oklahoma City OK
113,2013-06-01,38,OK,Oklahoma City ,Oklahoma City OK
114,2013-07-01,30,OK,Oklahoma City ,Oklahoma City OK
115,2013-08-01,23,OK,Oklahoma City ,Oklahoma City OK
116,2013-09-01,22,OK,Oklahoma City ,Oklahoma City OK
117,2013-10-01,25,OK,Oklahoma City ,Oklahoma City OK
118,2013-11-01,28,OK,Oklahoma City ,Oklahoma City OK
119,2013-12-01,27,OK,Oklahoma City ,Oklahoma City OK
120,2014-01-01,28,OK,Oklahoma City ,Oklahoma City OK
121,2014-02-01,31,OK,Oklahoma City ,Oklahoma City OK
122,2014-03-01,29,OK,Oklahoma City ,Oklahoma City OK
123,2014-04-01,23,OK,Oklahoma City ,Oklahoma City OK
124,2014-05-01,30,OK,Oklahoma City ,Oklahoma City OK
125,2014-06-01,30,OK,Oklahoma City ,Oklahoma City OK
126,2014-07-01,28,OK,Oklahoma City ,Oklahoma City OK
127,2014-08-01,34,OK,Oklahoma City ,Oklahoma City OK
128,2014-09-01,28,OK,Oklahoma City ,Oklahoma City OK
129,2014-10-01,23,OK,Oklahoma City ,Oklahoma City OK
130,2014-11-01,22,OK,Oklahoma City ,Oklahoma City OK
131,2014-12-01,32,OK,Oklahoma City ,Oklahoma City OK
132,2015-01-01,35,OK,Oklahoma City ,Oklahoma City OK
133,2015-02-01,33,OK,Oklahoma City ,Oklahoma City OK
134,2015-03-01,33,OK,Oklahoma City ,Oklahoma City OK
135,2015-04-01,38,OK,Oklahoma City ,Oklahoma City OK
136,2015-05-01,39,OK,Oklahoma City ,Oklahoma City OK
137,2015-06-01,33,OK,Oklahoma City ,Oklahoma City OK
138,2015-07-01,35,OK,Oklahoma City ,Oklahoma City OK
139,2015-08-01,23,OK,Oklahoma City ,Oklahoma City OK
140,2015-09-01,20,OK,Oklahoma City ,Oklahoma City OK
141,2015-10-01,25,OK,Oklahoma City ,Oklahoma City OK
142,2015-11-01,29,OK,Oklahoma City ,Oklahoma City OK
143,2015-12-01,25,OK,Oklahoma City ,Oklahoma City OK
144,2016-01-01,31,OK,Oklahoma City ,Oklahoma City OK
145,2016-02-01,37,OK,Oklahoma City ,Oklahoma City OK
146,2016-03-01,33,OK,Oklahoma City ,Oklahoma City OK
147,2016-04-01,49,OK,Oklahoma City ,Oklahoma City OK
148,2016-05-01,37,OK,Oklahoma City ,Oklahoma City OK
149,2016-06-01,24,OK,Oklahoma City ,Oklahoma City OK
150,2016-07-01,38,OK,Oklahoma City ,Oklahoma City OK
151,2016-08-01,29,OK,Oklahoma City ,Oklahoma City OK
152,2016-09-01,24,OK,Oklahoma City ,Oklahoma City OK
153,2016-10-01,28,OK,Oklahoma City ,Oklahoma City OK
154,2016-11-01,25,OK,Oklahoma City ,Oklahoma City OK
155,2016-12-01,16,OK,Oklahoma City ,Oklahoma City OK
156,2017-01-01,38,OK,Oklahoma City ,Oklahoma City OK
157,2017-02-01,38,OK,Oklahoma City ,Oklahoma City OK
158,2017-03-01,35,OK,Oklahoma City ,Oklahoma City OK
159,2017-04-01,36,OK,Oklahoma City ,Oklahoma City OK
160,2017-05-01,31,OK,Oklahoma City ,Oklahoma City OK
161,2017-06-01,46,OK,Oklahoma City ,Oklahoma City OK
162,2017-07-01,47,OK,Oklahoma City ,Oklahoma City OK
163,2017-08-01,40,OK,Oklahoma City ,Oklahoma City OK
164,2017-09-01,32,OK,Oklahoma City ,Oklahoma City OK
165,2017-10-01,40,OK,Oklahoma City ,Oklahoma City OK
166,2017-11-01,23,OK,Oklahoma City ,Oklahoma City OK
167,2017-12-01,29,OK,Oklahoma City ,Oklahoma City OK
168,2018-01-01,43,OK,Oklahoma City ,Oklahoma City OK
169,2018-02-01,37,OK,Oklahoma City ,Oklahoma City OK
170,2018-03-01,37,OK,Oklahoma City ,Oklahoma City OK
171,2018-04-01,42,OK,Oklahoma City ,Oklahoma City OK
172,2018-05-01,38,OK,Oklahoma City ,Oklahoma City OK
173,2018-06-01,34,OK,Oklahoma City ,Oklahoma City OK
174,2018-07-01,38,OK,Oklahoma City ,Oklahoma City OK
175,2018-08-01,46,OK,Oklahoma City ,Oklahoma City OK
176,2018-09-01,31,OK,Oklahoma City ,Oklahoma City OK
177,2018-10-01,23,OK,Oklahoma City ,Oklahoma City OK
178,2018-11-01,25,OK,Oklahoma City ,Oklahoma City OK
179,2018-12-01,25,OK,Oklahoma City ,Oklahoma City OK
180,2019-01-01,43,OK,Oklahoma City ,Oklahoma City OK
181,2019-02-01,34,OK,Oklahoma City ,Oklahoma City OK
182,2019-03-01,40,OK,Oklahoma City ,Oklahoma City OK
183,2019-04-01,45,OK,Oklahoma City ,Oklahoma City OK
184,2019-05-01,43,OK,Oklahoma City ,Oklahoma City OK
185,2019-06-01,48,OK,Oklahoma City ,Oklahoma City OK
186,2019-07-01,54,OK,Oklahoma City ,Oklahoma City OK
187,2019-08-01,43,OK,Oklahoma City ,Oklahoma City OK
188,2019-09-01,32,OK,Oklahoma City ,Oklahoma City OK
189,2019-10-01,35,OK,Oklahoma City ,Oklahoma City OK
190,2019-11-01,20,OK,Oklahoma City ,Oklahoma City OK
191,2019-12-01,35,OK,Oklahoma City ,Oklahoma City OK
192,2020-01-01,34,OK,Oklahoma City ,Oklahoma City OK
193,2020-02-01,34,OK,Oklahoma City ,Oklahoma City OK
194,2020-03-01,28,OK,Oklahoma City ,Oklahoma City OK
195,2020-04-01,40,OK,Oklahoma City ,Oklahoma City OK
196,2020-05-01,46,OK,Oklahoma City ,Oklahoma City OK
197,2020-06-01,55,OK,Oklahoma City ,Oklahoma City OK
198,2020-07-01,39,OK,Oklahoma City ,Oklahoma City OK
199,2020-08-01,49,OK,Oklahoma City ,Oklahoma City OK
200,2020-09-01,27,OK,Oklahoma City ,Oklahoma City OK
201,2020-10-01,36,OK,Oklahoma City ,Oklahoma City OK
202,2020-11-01,28,OK,Oklahoma City ,Oklahoma City OK
203,2020-12-01,33,OK,Oklahoma City ,Oklahoma City OK
204,2004-01-01,0,FL,Jacksonville ,Jacksonville FL
205,2004-02-01,0,FL,Jacksonville ,Jacksonville FL
206,2004-03-01,0,FL,Jacksonville ,Jacksonville FL
207,2004-04-01,0,FL,Jacksonville ,Jacksonville FL
208,2004-05-01,100,FL,Jacksonville ,Jacksonville FL
209,2004-06-01,91,FL,Jacksonville ,Jacksonville FL
210,2004-07-01,0,FL,Jacksonville ,Jacksonville FL
211,2004-08-01,0,FL,Jacksonville ,Jacksonville FL
212,2004-09-01,96,FL,Jacksonville ,Jacksonville FL
213,2004-10-01,0,FL,Jacksonville ,Jacksonville FL
214,2004-11-01,0,FL,Jacksonville ,Jacksonville FL
215,2004-12-01,0,FL,Jacksonville ,Jacksonville FL
216,2005-01-01,0,FL,Jacksonville ,Jacksonville FL
217,2005-02-01,0,FL,Jacksonville ,Jacksonville FL
218,2005-03-01,50,FL,Jacksonville ,Jacksonville FL
219,2005-04-01,0,FL,Jacksonville ,Jacksonville FL
220,2005-05-01,0,FL,Jacksonville ,Jacksonville FL
221,2005-06-01,36,FL,Jacksonville ,Jacksonville FL
222,2005-07-01,0,FL,Jacksonville ,Jacksonville FL
223,2005-08-01,58,FL,Jacksonville ,Jacksonville FL
224,2005-09-01,38,FL,Jacksonville ,Jacksonville FL
225,2005-10-01,0,FL,Jacksonville ,Jacksonville FL
226,2005-11-01,0,FL,Jacksonville ,Jacksonville FL
227,2005-12-01,29,FL,Jacksonville ,Jacksonville FL
228,2006-01-01,75,FL,Jacksonville ,Jacksonville FL
229,2006-02-01,0,FL,Jacksonville ,Jacksonville FL
230,2006-03-01,0,FL,Jacksonville ,Jacksonville FL
231,2006-04-01,36,FL,Jacksonville ,Jacksonville FL
232,2006-05-01,19,FL,Jacksonville ,Jacksonville FL
233,2006-06-01,33,FL,Jacksonville ,Jacksonville FL
234,2006-07-01,0,FL,Jacksonville ,Jacksonville FL
235,2006-08-01,0,FL,Jacksonville ,Jacksonville FL
236,2006-09-01,44,FL,Jacksonville ,Jacksonville FL
237,2006-10-01,25,FL,Jacksonville ,Jacksonville FL
238,2006-11-01,0,FL,Jacksonville ,Jacksonville FL
239,2006-12-01,0,FL,Jacksonville ,Jacksonville FL
240,2007-01-01,48,FL,Jacksonville ,Jacksonville FL
241,2007-02-01,27,FL,Jacksonville ,Jacksonville FL
242,2007-03-01,52,FL,Jacksonville ,Jacksonville FL
243,2007-04-01,47,FL,Jacksonville ,Jacksonville FL
244,2007-05-01,16,FL,Jacksonville ,Jacksonville FL
245,2007-06-01,44,FL,Jacksonville ,Jacksonville FL
246,2007-07-01,21,FL,Jacksonville ,Jacksonville FL
247,2007-08-01,17,FL,Jacksonville ,Jacksonville FL
248,2007-09-01,31,FL,Jacksonville ,Jacksonville FL
249,2007-10-01,0,FL,Jacksonville ,Jacksonville FL
250,2007-11-01,17,FL,Jacksonville ,Jacksonville FL
251,2007-12-01,27,FL,Jacksonville ,Jacksonville FL
252,2008-01-01,0,FL,Jacksonville ,Jacksonville FL
253,2008-02-01,33,FL,Jacksonville ,Jacksonville FL
254,2008-03-01,34,FL,Jacksonville ,Jacksonville FL
255,2008-04-01,18,FL,Jacksonville ,Jacksonville FL
256,2008-05-01,26,FL,Jacksonville ,Jacksonville FL
257,2008-06-01,35,FL,Jacksonville ,Jacksonville FL
258,2008-07-01,38,FL,Jacksonville ,Jacksonville FL
259,2008-08-01,15,FL,Jacksonville ,Jacksonville FL
260,2008-09-01,28,FL,Jacksonville ,Jacksonville FL
261,2008-10-01,0,FL,Jacksonville ,Jacksonville FL
262,2008-11-01,25,FL,Jacksonville ,Jacksonville FL
263,2008-12-01,42,FL,Jacksonville ,Jacksonville FL
264,2009-01-01,32,FL,Jacksonville ,Jacksonville FL
265,2009-02-01,0,FL,Jacksonville ,Jacksonville FL
266,2009-03-01,14,FL,Jacksonville ,Jacksonville FL
267,2009-04-01,34,FL,Jacksonville ,Jacksonville FL
268,2009-05-01,48,FL,Jacksonville ,Jacksonville FL
269,2009-06-01,0,FL,Jacksonville ,Jacksonville FL
270,2009-07-01,40,FL,Jacksonville ,Jacksonville FL
271,2009-08-01,23,FL,Jacksonville ,Jacksonville FL
272,2009-09-01,20,FL,Jacksonville ,Jacksonville FL
273,2009-10-01,27,FL,Jacksonville ,Jacksonville FL
274,2009-11-01,31,FL,Jacksonville ,Jacksonville FL
275,2009-12-01,31,FL,Jacksonville ,Jacksonville FL
276,2010-01-01,57,FL,Jacksonville ,Jacksonville FL
277,2010-02-01,13,FL,Jacksonville ,Jacksonville FL
278,2010-03-01,22,FL,Jacksonville ,Jacksonville FL
279,2010-04-01,18,FL,Jacksonville ,Jacksonville FL
280,2010-05-01,30,FL,Jacksonville ,Jacksonville FL
281,2010-06-01,37,FL,Jacksonville ,Jacksonville FL
282,2010-07-01,34,FL,Jacksonville ,Jacksonville FL
283,2010-08-01,19,FL,Jacksonville ,Jacksonville FL
284,2010-09-01,56,FL,Jacksonville ,Jacksonville FL
285,2010-10-01,30,FL,Jacksonville ,Jacksonville FL
286,2010-11-01,15,FL,Jacksonville ,Jacksonville FL
287,2010-12-01,32,FL,Jacksonville ,Jacksonville FL
288,2011-01-01,21,FL,Jacksonville ,Jacksonville FL
289,2011-02-01,39,FL,Jacksonville ,Jacksonville FL
290,2011-03-01,30,FL,Jacksonville ,Jacksonville FL
291,2011-04-01,31,FL,Jacksonville ,Jacksonville FL
292,2011-05-01,47,FL,Jacksonville ,Jacksonville FL
293,2011-06-01,49,FL,Jacksonville ,Jacksonville FL
294,2011-07-01,50,FL,Jacksonville ,Jacksonville FL
295,2011-08-01,31,FL,Jacksonville ,Jacksonville FL
296,2011-09-01,34,FL,Jacksonville ,Jacksonville FL
297,2011-10-01,26,FL,Jacksonville ,Jacksonville FL
298,2011-11-01,27,FL,Jacksonville ,Jacksonville FL
299,2011-12-01,28,FL,Jacksonville ,Jacksonville FL
300,2012-01-01,35,FL,Jacksonville ,Jacksonville FL
301,2012-02-01,24,FL,Jacksonville ,Jacksonville FL
302,2012-03-01,28,FL,Jacksonville ,Jacksonville FL
303,2012-04-01,34,FL,Jacksonville ,Jacksonville FL
304,2012-05-01,35,FL,Jacksonville ,Jacksonville FL
305,2012-06-01,24,FL,Jacksonville ,Jacksonville FL
306,2012-07-01,34,FL,Jacksonville ,Jacksonville FL
307,2012-08-01,32,FL,Jacksonville ,Jacksonville FL
308,2012-09-01,36,FL,Jacksonville ,Jacksonville FL
309,2012-10-01,22,FL,Jacksonville ,Jacksonville FL
310,2012-11-01,27,FL,Jacksonville ,Jacksonville FL
311,2012-12-01,21,FL,Jacksonville ,Jacksonville FL
312,2013-01-01,26,FL,Jacksonville ,Jacksonville FL
313,2013-02-01,45,FL,Jacksonville ,Jacksonville FL
314,2013-03-01,34,FL,Jacksonville ,Jacksonville FL
315,2013-04-01,36,FL,Jacksonville ,Jacksonville FL
316,2013-05-01,32,FL,Jacksonville ,Jacksonville FL
317,2013-06-01,36,FL,Jacksonville ,Jacksonville FL
318,2013-07-01,37,FL,Jacksonville ,Jacksonville FL
319,2013-08-01,23,FL,Jacksonville ,Jacksonville FL
320,2013-09-01,29,FL,Jacksonville ,Jacksonville FL
321,2013-10-01,30,FL,Jacksonville ,Jacksonville FL
322,2013-11-01,26,FL,Jacksonville ,Jacksonville FL
323,2013-12-01,28,FL,Jacksonville ,Jacksonville FL
324,2014-01-01,33,FL,Jacksonville ,Jacksonville FL
325,2014-02-01,29,FL,Jacksonville ,Jacksonville FL
326,2014-03-01,39,FL,Jacksonville ,Jacksonville FL
327,2014-04-01,38,FL,Jacksonville ,Jacksonville FL
328,2014-05-01,24,FL,Jacksonville ,Jacksonville FL
329,2014-06-01,37,FL,Jacksonville ,Jacksonville FL
330,2014-07-01,34,FL,Jacksonville ,Jacksonville FL
331,2014-08-01,24,FL,Jacksonville ,Jacksonville FL
332,2014-09-01,26,FL,Jacksonville ,Jacksonville FL
333,2014-10-01,29,FL,Jacksonville ,Jacksonville FL
334,2014-11-01,18,FL,Jacksonville ,Jacksonville FL
335,2014-12-01,12,FL,Jacksonville ,Jacksonville FL
336,2015-01-01,29,FL,Jacksonville ,Jacksonville FL
337,2015-02-01,29,FL,Jacksonville ,Jacksonville FL
338,2015-03-01,45,FL,Jacksonville ,Jacksonville FL
339,2015-04-01,36,FL,Jacksonville ,Jacksonville FL
340,2015-05-01,47,FL,Jacksonville ,Jacksonville FL
341,2015-06-01,30,FL,Jacksonville ,Jacksonville FL
342,2015-07-01,32,FL,Jacksonville ,Jacksonville FL
343,2015-08-01,42,FL,Jacksonville ,Jacksonville FL
344,2015-09-01,30,FL,Jacksonville ,Jacksonville FL
345,2015-10-01,28,FL,Jacksonville ,Jacksonville FL
346,2015-11-01,27,FL,Jacksonville ,Jacksonville FL
347,2015-12-01,15,FL,Jacksonville ,Jacksonville FL
348,2016-01-01,51,FL,Jacksonville ,Jacksonville FL
349,2016-02-01,42,FL,Jacksonville ,Jacksonville FL
350,2016-03-01,44,FL,Jacksonville ,Jacksonville FL
351,2016-04-01,41,FL,Jacksonville ,Jacksonville FL
352,2016-05-01,36,FL,Jacksonville ,Jacksonville FL
353,2016-06-01,36,FL,Jacksonville ,Jacksonville FL
354,2016-07-01,34,FL,Jacksonville ,Jacksonville FL
355,2016-08-01,40,FL,Jacksonville ,Jacksonville FL
356,2016-09-01,34,FL,Jacksonville ,Jacksonville FL
357,2016-10-01,29,FL,Jacksonville ,Jacksonville FL
358,2016-11-01,29,FL,Jacksonville ,Jacksonville FL
359,2016-12-01,24,FL,Jacksonville ,Jacksonville FL
360,2017-01-01,42,FL,Jacksonville ,Jacksonville FL
361,2017-02-01,49,FL,Jacksonville ,Jacksonville FL
362,2017-03-01,38,FL,Jacksonville ,Jacksonville FL
363,2017-04-01,42,FL,Jacksonville ,Jacksonville FL
364,2017-05-01,40,FL,Jacksonville ,Jacksonville FL
365,2017-06-01,55,FL,Jacksonville ,Jacksonville FL
366,2017-07-01,44,FL,Jacksonville ,Jacksonville FL
367,2017-08-01,51,FL,Jacksonville ,Jacksonville FL
368,2017-09-01,42,FL,Jacksonville ,Jacksonville FL
369,2017-10-01,39,FL,Jacksonville ,Jacksonville FL
370,2017-11-01,37,FL,Jacksonville ,Jacksonville FL
371,2017-12-01,37,FL,Jacksonville ,Jacksonville FL
372,2018-01-01,39,FL,Jacksonville ,Jacksonville FL
373,2018-02-01,52,FL,Jacksonville ,Jacksonville FL
374,2018-03-01,47,FL,Jacksonville ,Jacksonville FL
375,2018-04-01,49,FL,Jacksonville ,Jacksonville FL
376,2018-05-01,45,FL,Jacksonville ,Jacksonville FL
377,2018-06-01,58,FL,Jacksonville ,Jacksonville FL
378,2018-07-01,48,FL,Jacksonville ,Jacksonville FL
379,2018-08-01,38,FL,Jacksonville ,Jacksonville FL
380,2018-09-01,45,FL,Jacksonville ,Jacksonville FL
381,2018-10-01,39,FL,Jacksonville ,Jacksonville FL
382,2018-11-01,33,FL,Jacksonville ,Jacksonville FL
383,2018-12-01,28,FL,Jacksonville ,Jacksonville FL
384,2019-01-01,44,FL,Jacksonville ,Jacksonville FL
385,2019-02-01,42,FL,Jacksonville ,Jacksonville FL
386,2019-03-01,35,FL,Jacksonville ,Jacksonville FL
387,2019-04-01,41,FL,Jacksonville ,Jacksonville FL
388,2019-05-01,43,FL,Jacksonville ,Jacksonville FL
389,2019-06-01,36,FL,Jacksonville ,Jacksonville FL
390,2019-07-01,46,FL,Jacksonville ,Jacksonville FL
391,2019-08-01,39,FL,Jacksonville ,Jacksonville FL
392,2019-09-01,32,FL,Jacksonville ,Jacksonville FL
393,2019-10-01,34,FL,Jacksonville ,Jacksonville FL
394,2019-11-01,33,FL,Jacksonville ,Jacksonville FL
395,2019-12-01,30,FL,Jacksonville ,Jacksonville FL
396,2020-01-01,41,FL,Jacksonville ,Jacksonville FL
397,2020-02-01,38,FL,Jacksonville ,Jacksonville FL
398,2020-03-01,38,FL,Jacksonville ,Jacksonville FL
399,2020-04-01,36,FL,Jacksonville ,Jacksonville FL
400,2020-05-01,35,FL,Jacksonville ,Jacksonville FL
401,2020-06-01,38,FL,Jacksonville ,Jacksonville FL
402,2020-07-01,37,FL,Jacksonville ,Jacksonville FL
403,2020-08-01,35,FL,Jacksonville ,Jacksonville FL
404,2020-09-01,38,FL,Jacksonville ,Jacksonville FL
405,2020-10-01,35,FL,Jacksonville ,Jacksonville FL
406,2020-11-01,31,FL,Jacksonville ,Jacksonville FL
407,2020-12-01,32,FL,Jacksonville ,Jacksonville FL
408,2004-01-01,18,NY,New York ,New York NY
409,2004-02-01,23,NY,New York ,New York NY
410,2004-03-01,34,NY,New York ,New York NY
411,2004-04-01,25,NY,New York ,New York NY
412,2004-05-01,31,NY,New York ,New York NY
413,2004-06-01,12,NY,New York ,New York NY
414,2004-07-01,22,NY,New York ,New York NY
415,2004-08-01,13,NY,New York ,New York NY
416,2004-09-01,9,NY,New York ,New York NY
417,2004-10-01,19,NY,New York ,New York NY
418,2004-11-01,22,NY,New York ,New York NY
419,2004-12-01,15,NY,New York ,New York NY
420,2005-01-01,18,NY,New York ,New York NY
421,2005-02-01,21,NY,New York ,New York NY
422,2005-03-01,14,NY,New York ,New York NY
423,2005-04-01,33,NY,New York ,New York NY
424,2005-05-01,12,NY,New York ,New York NY
425,2005-06-01,19,NY,New York ,New York NY
426,2005-07-01,30,NY,New York ,New York NY
427,2005-08-01,27,NY,New York ,New York NY
428,2005-09-01,27,NY,New York ,New York NY
429,2005-10-01,8,NY,New York ,New York NY
430,2005-11-01,5,NY,New York ,New York NY
431,2005-12-01,12,NY,New York ,New York NY
432,2006-01-01,25,NY,New York ,New York NY
433,2006-02-01,24,NY,New York ,New York NY
434,2006-03-01,20,NY,New York ,New York NY
435,2006-04-01,28,NY,New York ,New York NY
436,2006-05-01,24,NY,New York ,New York NY
437,2006-06-01,24,NY,New York ,New York NY
438,2006-07-01,17,NY,New York ,New York NY
439,2006-08-01,20,NY,New York ,New York NY
440,2006-09-01,20,NY,New York ,New York NY
441,2006-10-01,12,NY,New York ,New York NY
442,2006-11-01,23,NY,New York ,New York NY
443,2006-12-01,10,NY,New York ,New York NY
444,2007-01-01,22,NY,New York ,New York NY
445,2007-02-01,17,NY,New York ,New York NY
446,2007-03-01,18,NY,New York ,New York NY
