date,house,State,DMA,Full
2008-03-01,57,GA,Savannah ,Savannah GA
2008-04-01,54,GA,Savannah ,Savannah GA
2008-05-01,67,GA,Savannah ,Savannah GA
2008-06-01,56,GA,Savannah ,Savannah GA
2008-07-01,57,GA,Savannah ,Savannah GA
2008-08-01,62,GA,Savannah ,Savannah GA
2008-09-01,66,GA,Savannah ,Savannah GA
2008-10-01,74,GA,Savannah ,Savannah GA
2008-11-01,65,GA,Savannah ,Savannah GA
2008-12-01,64,GA,Savannah ,Savannah GA
2009-01-01,74,GA,Savannah ,Savannah GA
2009-02-01,68,GA,Savannah ,Savannah GA
2009-03-01,64,GA,Savannah ,Savannah GA
2009-04-01,71,GA,Savannah ,Savannah GA
2009-05-01,69,GA,Savannah ,Savannah GA
2009-06-01,70,GA,Savannah ,Savannah GA
2009-07-01,68,GA,Savannah ,Savannah GA
2009-08-01,67,GA,Savannah ,Savannah GA
2009-09-01,65,GA,Savannah ,Savannah GA
2009-10-01,62,GA,Savannah ,Savannah GA
2009-11-01,65,GA,Savannah ,Savannah GA
2009-12-01,60,GA,Savannah ,Savannah GA
2010-01-01,58,GA,Savannah ,Savannah GA
2010-02-01,62,GA,Savannah ,Savannah GA
2010-03-01,64,GA,Savannah ,Savannah GA
2010-04-01,67,GA,Savannah ,Savannah GA
2010-05-01,68,GA,Savannah ,Savannah GA
2010-06-01,70,GA,Savannah ,Savannah GA
2010-07-01,73,GA,Savannah ,Savannah GA
2010-08-01,66,GA,Savannah ,Savannah GA
2010-09-01,63,GA,Savannah ,Savannah GA
2010-10-01,79,GA,Savannah ,Savannah GA
2010-11-01,61,GA,Savannah ,Savannah GA
2010-12-01,59,GA,Savannah ,Savannah GA
2011-01-01,62,GA,Savannah ,Savannah GA
2011-02-01,61,GA,Savannah ,Savannah GA
2011-03-01,62,GA,Savannah ,Savannah GA
2011-04-01,59,GA,Savannah ,Savannah GA
2011-05-01,64,GA,Savannah ,Savannah GA
2011-06-01,59,GA,Savannah ,Savannah GA
2011-07-01,71,GA,Savannah ,Savannah GA
2011-08-01,62,GA,Savannah ,Savannah GA
2011-09-01,61,GA,Savannah ,Savannah GA
2011-10-01,71,GA,Savannah ,Savannah GA
2011-11-01,65,GA,Savannah ,Savannah GA
2011-12-01,63,GA,Savannah ,Savannah GA
2012-01-01,68,GA,Savannah ,Savannah GA
2012-02-01,65,GA,Savannah ,Savannah GA
2012-03-01,70,GA,Savannah ,Savannah GA
2012-04-01,68,GA,Savannah ,Savannah GA
2012-05-01,66,GA,Savannah ,Savannah GA
2012-06-01,65,GA,Savannah ,Savannah GA
2012-07-01,66,GA,Savannah ,Savannah GA
2012-08-01,62,GA,Savannah ,Savannah GA
2012-09-01,62,GA,Savannah ,Savannah GA
2012-10-01,60,GA,Savannah ,Savannah GA
2012-11-01,63,GA,Savannah ,Savannah GA
2012-12-01,58,GA,Savannah ,Savannah GA
2013-01-01,64,GA,Savannah ,Savannah GA
2013-02-01,65,GA,Savannah ,Savannah GA
2013-03-01,61,GA,Savannah ,Savannah GA
2013-04-01,67,GA,Savannah ,Savannah GA
2013-05-01,70,GA,Savannah ,Savannah GA
2013-06-01,73,GA,Savannah ,Savannah GA
2013-07-01,73,GA,Savannah ,Savannah GA
2013-08-01,72,GA,Savannah ,Savannah GA
2013-09-01,58,GA,Savannah ,Savannah GA
2013-10-01,72,GA,Savannah ,Savannah GA
2013-11-01,67,GA,Savannah ,Savannah GA
2013-12-01,64,GA,Savannah ,Savannah GA
2014-01-01,66,GA,Savannah ,Savannah GA
2014-02-01,70,GA,Savannah ,Savannah GA
2014-03-01,73,GA,Savannah ,Savannah GA
2014-04-01,74,GA,Savannah ,Savannah GA
2014-05-01,73,GA,Savannah ,Savannah GA
2014-06-01,62,GA,Savannah ,Savannah GA
2014-07-01,74,GA,Savannah ,Savannah GA
2014-08-01,73,GA,Savannah ,Savannah GA
2014-09-01,69,GA,Savannah ,Savannah GA
2014-10-01,74,GA,Savannah ,Savannah GA
2014-11-01,68,GA,Savannah ,Savannah GA
2014-12-01,65,GA,Savannah ,Savannah GA
2015-01-01,71,GA,Savannah ,Savannah GA
2015-02-01,71,GA,Savannah ,Savannah GA
2015-03-01,78,GA,Savannah ,Savannah GA
2015-04-01,75,GA,Savannah ,Savannah GA
2015-05-01,80,GA,Savannah ,Savannah GA
2015-06-01,83,GA,Savannah ,Savannah GA
2015-07-01,80,GA,Savannah ,Savannah GA
2015-08-01,69,GA,Savannah ,Savannah GA
2015-09-01,72,GA,Savannah ,Savannah GA
2015-10-01,75,GA,Savannah ,Savannah GA
2015-11-01,71,GA,Savannah ,Savannah GA
2015-12-01,76,GA,Savannah ,Savannah GA
2016-01-01,74,GA,Savannah ,Savannah GA
2016-02-01,86,GA,Savannah ,Savannah GA
2016-03-01,94,GA,Savannah ,Savannah GA
2016-04-01,89,GA,Savannah ,Savannah GA
2016-05-01,89,GA,Savannah ,Savannah GA
2016-06-01,91,GA,Savannah ,Savannah GA
2016-07-01,91,GA,Savannah ,Savannah GA
2016-08-01,74,GA,Savannah ,Savannah GA
2016-09-01,76,GA,Savannah ,Savannah GA
2016-10-01,80,GA,Savannah ,Savannah GA
2016-11-01,76,GA,Savannah ,Savannah GA
2016-12-01,85,GA,Savannah ,Savannah GA
2017-01-01,82,GA,Savannah ,Savannah GA
2017-02-01,83,GA,Savannah ,Savannah GA
2017-03-01,84,GA,Savannah ,Savannah GA
2017-04-01,89,GA,Savannah ,Savannah GA
2017-05-01,90,GA,Savannah ,Savannah GA
2017-06-01,95,GA,Savannah ,Savannah GA
2017-07-01,100,GA,Savannah ,Savannah GA
2017-08-01,82,GA,Savannah ,Savannah GA
2017-09-01,85,GA,Savannah ,Savannah GA
2017-10-01,91,GA,Savannah ,Savannah GA
2017-11-01,76,GA,Savannah ,Savannah GA
2017-12-01,80,GA,Savannah ,Savannah GA
2018-01-01,81,GA,Savannah ,Savannah GA
2018-02-01,82,GA,Savannah ,Savannah GA
2018-03-01,84,GA,Savannah ,Savannah GA
2018-04-01,90,GA,Savannah ,Savannah GA
2018-05-01,86,GA,Savannah ,Savannah GA
2018-06-01,94,GA,Savannah ,Savannah GA
2018-07-01,93,GA,Savannah ,Savannah GA
2018-08-01,80,GA,Savannah ,Savannah GA
2018-09-01,79,GA,Savannah ,Savannah GA
2018-10-01,95,GA,Savannah ,Savannah GA
2018-11-01,89,GA,Savannah ,Savannah GA
2018-12-01,88,GA,Savannah ,Savannah GA
2019-01-01,78,GA,Savannah ,Savannah GA
2019-02-01,75,GA,Savannah ,Savannah GA
2019-03-01,86,GA,Savannah ,Savannah GA
2019-04-01,85,GA,Savannah ,Savannah GA
2019-05-01,93,GA,Savannah ,Savannah GA
2019-06-01,94,GA,Savannah ,Savannah GA
2019-07-01,96,GA,Savannah ,Savannah GA
2019-08-01,79,GA,Savannah ,Savannah GA
2019-09-01,77,GA,Savannah ,Savannah GA
2019-10-01,87,GA,Savannah ,Savannah GA
2019-11-01,81,GA,Savannah ,Savannah GA
2019-12-01,80,GA,Savannah ,Savannah GA
2020-01-01,78,GA,Savannah ,Savannah GA
2020-02-01,80,GA,Savannah ,Savannah GA
2020-03-01,78,GA,Savannah ,Savannah GA
2020-04-01,73,GA,Savannah ,Savannah GA
2020-05-01,96,GA,Savannah ,Savannah GA
2020-06-01,99,GA,Savannah ,Savannah GA
2020-07-01,90,GA,Savannah ,Savannah GA
2020-08-01,81,GA,Savannah ,Savannah GA
2020-09-01,83,GA,Savannah ,Savannah GA
2020-10-01,95,GA,Savannah ,Savannah GA
2020-11-01,85,GA,Savannah ,Savannah GA
2020-12-01,83,GA,Savannah ,Savannah GA
